Symptoms,Disease
"swelling, blurred vision, vomiting, anxiety, back pain, tremors, fatigue,7",Anxiety
"tremors, anxiety, blurred vision, sweating, swelling, headache,6",Anxiety
"weight loss, insomnia, nausea, appetite loss,4",Anemia
"muscle pain, appetite loss, vomiting, weight gain, abdominal pain, fatigue,6",Stroke
"blurred vision, back pain, sweating, fever, shortness of breath, dizziness,6",Common Cold
"nausea, tremors, fatigue, abdominal pain, rash,5",Obesity
"depression, chest pain, abdominal pain, weight gain, fever,5",Allergy
"fever, appetite loss, muscle pain, sweating, joint pain,5",Epilepsy
"rash, muscle pain, cough, sore throat,4",Dermatitis
"fever, swelling, depression,3",IBS
"rash, cough, shortness of breath, weight gain, nausea, depression, back pain,7",Allergy
"anxiety, rash, sweating, headache, shortness of breath, sore throat, depression,7",Stroke
"tremors, dizziness, chest pain,3",Arthritis
"nausea, tremors, back pain,3",Heart Disease
"nausea, dizziness, abdominal pain,3",Gastritis
"joint pain, nausea, rash, cough, blurred vision,5",Heart Disease
"appetite loss, tremors, anxiety,3",Anxiety
"sore throat, weight gain, rash, appetite loss,4",Food Poisoning
"rash, diarrhea, back pain, fever,4",Depression
"fatigue, sweating, sore throat, nausea,4",IBS
"sweating, sneezing, cough, weight loss, joint pain, anxiety, abdominal pain,7",Hypertension
"headache, rash, joint pain, anxiety, back pain, tremors,6",Hypertension
"headache, cough, shortness of breath,3",Heart Disease
"dizziness, sore throat, depression,3",Asthma
"back pain, fatigue, headache, runny nose,4",Arthritis
"muscle pain, weight loss, chest pain, sneezing, swelling, sore throat, cough,7",Influenza
"swelling, shortness of breath, fatigue, nausea, joint pain,5",Thyroid Disorder
"sore throat, cough, vomiting, nausea, abdominal pain,5",Migraine
"tremors, shortness of breath, sweating, vomiting, weight loss,5",Hypertension
"rash, runny nose, back pain, abdominal pain, sweating,5",Sinusitis
"shortness of breath, blurred vision, tremors,3",Thyroid Disorder
"weight gain, vomiting, joint pain, insomnia, anxiety,5",Anxiety
"sweating, swelling, headache, anxiety, sneezing, weight loss,6",Thyroid Disorder
"joint pain, runny nose, nausea, fever, chest pain, shortness of breath,6",IBS
"fatigue, rash, depression, joint pain,4",Influenza
"nausea, muscle pain, appetite loss, weight loss,4",Dementia
"abdominal pain, nausea, rash,3",IBS
"headache, insomnia, anxiety, sweating,4",Pneumonia
"fatigue, back pain, muscle pain,3",Sinusitis
"runny nose, anxiety, appetite loss, swelling, rash, headache, chest pain,7",Dermatitis
"back pain, shortness of breath, vomiting,3",Dermatitis
"fever, blurred vision, rash, swelling, sweating, sore throat, nausea,7",Influenza
"diarrhea, depression, shortness of breath, nausea, sneezing,5",Hypertension
"sore throat, diarrhea, tremors, weight gain, depression, blurred vision,6",Stroke
"appetite loss, rash, cough, headache, diarrhea, dizziness, chest pain,7",Pneumonia
"back pain, shortness of breath, vomiting,3",Depression
"vomiting, blurred vision, cough, fever,4",Migraine
"joint pain, appetite loss, nausea, sneezing, sore throat, tremors,6",Influenza
"weight gain, appetite loss, sweating,3",Food Poisoning
"weight loss, swelling, headache, runny nose, weight gain, diarrhea, depression,7",Influenza
"diarrhea, sneezing, depression,3",Ulcer
"swelling, sweating, weight gain, muscle pain, sneezing, cough,6",Obesity
"joint pain, blurred vision, shortness of breath,3",Asthma
"vomiting, muscle pain, sweating, depression,4",Obesity
"blurred vision, chest pain, sore throat, fatigue, insomnia, anxiety,6",Tuberculosis
"shortness of breath, swelling, anxiety, tremors, appetite loss, weight gain,6",Arthritis
"chest pain, fatigue, abdominal pain, vomiting, blurred vision, insomnia, tremors,7",Influenza
"blurred vision, shortness of breath, anxiety, insomnia, back pain, cough,6",Depression
"cough, anxiety, tremors, joint pain, diarrhea,5",Allergy
"sore throat, swelling, shortness of breath, sweating, weight gain,5",Hypertension
"joint pain, chest pain, nausea, fatigue, sweating,5",Depression
"blurred vision, anxiety, runny nose, headache, nausea,5",Anxiety
"diarrhea, sneezing, depression, insomnia, dizziness, back pain, tremors,7",Allergy
"blurred vision, muscle pain, tremors, fever,4",Sinusitis
"back pain, weight loss, nausea, headache,4",Arthritis
"nausea, tremors, chest pain, cough, weight gain,5",Asthma
"joint pain, sneezing, anxiety, sore throat, sweating,5",Thyroid Disorder
"nausea, rash, back pain, runny nose, swelling,5",Gastritis
"sneezing, headache, joint pain, appetite loss, fever,5",Ulcer
"sneezing, fever, joint pain,3",Asthma
"chest pain, fever, anxiety, swelling,4",Anxiety
"blurred vision, dizziness, abdominal pain,3",Diabetes
"weight gain, nausea, abdominal pain,3",Tuberculosis
"fatigue, weight gain, depression, weight loss, abdominal pain,5",Dermatitis
"tremors, runny nose, chest pain, anxiety,4",Chronic Kidney Disease
"headache, swelling, chest pain, abdominal pain, tremors, back pain, insomnia,7",Liver Disease
"tremors, vomiting, weight loss, joint pain, shortness of breath,5",COVID-19
"shortness of breath, fever, headache, back pain, depression, swelling, abdominal pain,7",Heart Disease
"blurred vision, weight loss, headache,3",Influenza
"back pain, dizziness, weight gain, sneezing, abdominal pain, shortness of breath, runny nose,7",IBS
"headache, dizziness, back pain,3",Anxiety
"muscle pain, shortness of breath, chest pain, back pain,4",Stroke
"tremors, blurred vision, diarrhea, fatigue,4",Common Cold
"headache, abdominal pain, chest pain, dizziness, shortness of breath, joint pain, weight loss,7",Gastritis
"abdominal pain, chest pain, appetite loss, weight gain, sore throat, runny nose, insomnia,7",Hypertension
"sneezing, headache, fatigue, rash,4",Anxiety
"diarrhea, depression, abdominal pain, swelling, tremors,5",Migraine
"anxiety, muscle pain, vomiting,3",Dementia
"shortness of breath, blurred vision, sweating,3",Chronic Kidney Disease
"weight loss, depression, chest pain, vomiting, nausea, abdominal pain, rash,7",Heart Disease
"anxiety, sneezing, headache, joint pain, insomnia,5",Hypertension
"fatigue, joint pain, runny nose, vomiting, weight gain, cough, depression,7",Migraine
"cough, abdominal pain, shortness of breath,3",Gastritis
"cough, shortness of breath, anxiety,3",IBS
"vomiting, weight loss, runny nose, insomnia,4",Allergy
"fever, fatigue, muscle pain, runny nose, weight gain, back pain, rash,7",Allergy
"swelling, weight loss, anxiety,3",Hypertension
"fever, sneezing, runny nose, nausea, abdominal pain,5",Common Cold
"anxiety, blurred vision, diarrhea,3",Hypertension
"dizziness, joint pain, insomnia, weight gain, muscle pain,5",Gastritis
"tremors, sweating, back pain, depression, rash, abdominal pain, swelling,7",Dementia
"shortness of breath, sweating, fever,3",Influenza
"joint pain, weight loss, insomnia, sweating, fatigue, swelling, rash,7",Dementia
"diarrhea, chest pain, sweating, muscle pain, sneezing,5",Pneumonia
"nausea, abdominal pain, swelling, headache, tremors, sneezing,6",Asthma
"sneezing, swelling, vomiting, fatigue, abdominal pain, joint pain,6",Dementia
"runny nose, cough, diarrhea, dizziness, nausea, swelling, shortness of breath,7",Tuberculosis
"weight loss, sweating, weight gain,3",Depression
"back pain, depression, nausea, joint pain, blurred vision, insomnia,6",Allergy
"joint pain, sweating, nausea,3",Parkinson's
"fever, appetite loss, nausea,3",Anemia
"swelling, weight loss, tremors, fatigue, abdominal pain, muscle pain,6",Anemia
"sneezing, muscle pain, anxiety, swelling,4",Epilepsy
"weight loss, depression, insomnia, vomiting, nausea,5",Migraine
"headache, insomnia, sore throat, swelling, weight loss,5",Chronic Kidney Disease
"weight loss, joint pain, sweating, cough,4",Ulcer
"sneezing, muscle pain, dizziness, insomnia,4",Anxiety
"anxiety, swelling, shortness of breath, abdominal pain, sweating,5",Influenza
"blurred vision, anxiety, shortness of breath, tremors, vomiting,5",Heart Disease
"chest pain, sweating, nausea, weight gain, swelling,5",COVID-19
"sore throat, sweating, joint pain, sneezing, dizziness, shortness of breath, weight gain,7",IBS
"sneezing, weight loss, sore throat,3",Ulcer
"joint pain, rash, dizziness, runny nose, nausea,5",Asthma
"dizziness, back pain, weight loss, muscle pain, sweating, vomiting,6",Dermatitis
"insomnia, weight gain, weight loss,3",Gastritis
"muscle pain, sweating, tremors, depression, nausea, vomiting, diarrhea,7",Obesity
"dizziness, back pain, weight gain, sneezing, rash,5",Bronchitis
"swelling, anxiety, weight gain,3",Diabetes
"tremors, anxiety, dizziness,3",Parkinson's
"cough, weight loss, appetite loss, muscle pain, blurred vision, sneezing, shortness of breath,7",Diabetes
"dizziness, fever, chest pain, headache, nausea, depression,6",Food Poisoning
"tremors, chest pain, depression, swelling, abdominal pain,5",Migraine
"chest pain, sweating, muscle pain, runny nose, tremors, fever,6",Thyroid Disorder
"sore throat, chest pain, nausea, weight gain, runny nose,5",Dermatitis
"nausea, depression, shortness of breath,3",Depression
"diarrhea, headache, back pain, shortness of breath, fever, weight loss,6",Obesity
"chest pain, runny nose, sore throat,3",Parkinson's
"abdominal pain, appetite loss, blurred vision, back pain,4",Asthma
"weight loss, joint pain, chest pain, sweating,4",Bronchitis
"depression, appetite loss, swelling,3",Liver Disease
"nausea, anxiety, sore throat, sweating, chest pain, diarrhea, swelling,7",Dermatitis
"abdominal pain, sneezing, rash,3",IBS
"dizziness, fever, back pain, tremors,4",Migraine
"vomiting, sweating, dizziness,3",Gastritis
"chest pain, fatigue, cough,3",Heart Disease
"fatigue, insomnia, cough, back pain, headache, rash,6",Anxiety
"dizziness, chest pain, tremors,3",Heart Disease
"depression, joint pain, weight loss,3",Diabetes
"cough, tremors, weight loss,3",Diabetes
"weight gain, dizziness, fever, runny nose, insomnia,5",Anemia
"weight loss, blurred vision, swelling, sneezing, shortness of breath,5",Asthma
"dizziness, insomnia, fatigue,3",Liver Disease
"vomiting, rash, tremors,3",Food Poisoning
"joint pain, fever, rash, dizziness, sneezing, abdominal pain, headache,7",Anemia
"sneezing, abdominal pain, muscle pain,3",COVID-19
"joint pain, abdominal pain, depression, runny nose, shortness of breath, sore throat, muscle pain,7",Tuberculosis
"muscle pain, nausea, rash, weight gain, blurred vision, depression, sweating,7",Chronic Kidney Disease
"shortness of breath, swelling, depression, nausea,4",Ulcer
"tremors, sore throat, appetite loss, fever, abdominal pain, weight gain, diarrhea,7",Parkinson's
"back pain, sneezing, abdominal pain, joint pain, headache, tremors, dizziness,7",Ulcer
"back pain, fever, abdominal pain, muscle pain, depression, cough,6",Gastritis
"joint pain, fatigue, tremors, fever,4",Influenza
"nausea, diarrhea, sneezing, weight loss, fatigue, blurred vision,6",IBS
"muscle pain, dizziness, sneezing,3",Depression
"depression, dizziness, fever, insomnia,4",Pneumonia
"joint pain, depression, shortness of breath, abdominal pain, diarrhea, sore throat,6",Heart Disease
"runny nose, dizziness, insomnia,3",IBS
"weight gain, joint pain, fatigue,3",Ulcer
"anxiety, sneezing, dizziness, headache, weight loss,5",Diabetes
"tremors, weight gain, fever, rash, headache, vomiting, nausea,7",Influenza
"fatigue, chest pain, muscle pain, weight gain,4",Epilepsy
"chest pain, nausea, fever,3",Allergy
"runny nose, sneezing, muscle pain, abdominal pain, chest pain, sweating, blurred vision,7",Asthma
"cough, diarrhea, blurred vision,3",Allergy
"insomnia, rash, muscle pain, abdominal pain,4",Pneumonia
"nausea, fatigue, blurred vision, depression,4",Dermatitis
"weight gain, nausea, fatigue, weight loss, depression,5",Hypertension
"muscle pain, vomiting, cough, fatigue, chest pain,5",IBS
"sneezing, anxiety, depression, tremors, swelling,5",Common Cold
"dizziness, chest pain, joint pain, appetite loss, fever,5",Influenza
"insomnia, abdominal pain, weight loss,3",Anxiety
"back pain, runny nose, fatigue, sneezing, nausea,5",Dementia
"sweating, shortness of breath, vomiting,3",IBS
"runny nose, abdominal pain, blurred vision,3",Allergy
"cough, fatigue, back pain, sweating, dizziness,5",Epilepsy
"weight gain, muscle pain, cough, headache,4",Bronchitis
"appetite loss, shortness of breath, weight loss, insomnia, weight gain,5",Food Poisoning
"anxiety, weight gain, fatigue, sweating, diarrhea, weight loss,6",Migraine
"blurred vision, anxiety, cough, depression, sweating,5",COVID-19
"chest pain, sore throat, diarrhea, weight gain, nausea, fever,6",Sinusitis
"headache, swelling, sweating, muscle pain, weight loss, abdominal pain,6",Depression
"weight loss, tremors, depression, weight gain, blurred vision, abdominal pain, back pain,7",Influenza
"shortness of breath, muscle pain, anxiety, back pain, weight gain, diarrhea,6",Chronic Kidney Disease
"chest pain, blurred vision, sneezing, shortness of breath, joint pain, back pain,6",Parkinson's
"back pain, sore throat, cough, blurred vision,4",Heart Disease
"sweating, rash, chest pain, muscle pain, sore throat,5",Epilepsy
"sweating, rash, cough, swelling, anxiety, shortness of breath, appetite loss,7",Influenza
"fever, cough, joint pain,3",Dermatitis
"shortness of breath, abdominal pain, swelling, appetite loss, sweating, weight gain, chest pain,7",Food Poisoning
"tremors, vomiting, cough,3",Bronchitis
"joint pain, back pain, swelling,3",Bronchitis
"rash, fever, tremors,3",Liver Disease
"weight loss, rash, shortness of breath, swelling, cough, diarrhea,6",Diabetes
"blurred vision, abdominal pain, swelling, sneezing, anxiety,5",Obesity
"dizziness, fever, abdominal pain, muscle pain, vomiting, fatigue,6",COVID-19
"blurred vision, diarrhea, sweating, insomnia, appetite loss, muscle pain,6",Migraine
"weight loss, sneezing, rash,3",Dermatitis
"nausea, blurred vision, fatigue, muscle pain,4",Dementia
"headache, muscle pain, depression, dizziness, appetite loss, shortness of breath,6",Chronic Kidney Disease
"anxiety, sweating, sneezing, headache, tremors, runny nose, cough,7",Parkinson's
"swelling, diarrhea, weight loss, vomiting,4",Dementia
"back pain, swelling, appetite loss, weight loss, muscle pain, joint pain, weight gain,7",Parkinson's
"abdominal pain, headache, runny nose, dizziness, fever, swelling,6",Sinusitis
"shortness of breath, tremors, depression, nausea, runny nose, anxiety,6",COVID-19
"muscle pain, depression, blurred vision, swelling,4",Gastritis
"cough, weight gain, sneezing,3",Food Poisoning
"insomnia, cough, diarrhea, weight loss, sneezing, rash, fever,7",Stroke
"sweating, sneezing, insomnia, back pain,4",Allergy
"runny nose, dizziness, vomiting, weight loss, tremors,5",Obesity
"sore throat, back pain, swelling, joint pain, fever,5",Asthma
"rash, sore throat, cough, tremors, weight gain, nausea, sneezing,7",Bronchitis
"sweating, appetite loss, nausea, muscle pain,4",Obesity
"muscle pain, chest pain, blurred vision, runny nose, sore throat, weight gain, headache,7",Arthritis
"blurred vision, shortness of breath, abdominal pain, tremors, insomnia, runny nose, nausea,7",Diabetes
"rash, muscle pain, sweating, nausea, swelling,5",Food Poisoning
"runny nose, nausea, depression, sore throat,4",Obesity
"tremors, fever, blurred vision, dizziness, abdominal pain, sore throat,6",Tuberculosis
"weight gain, headache, fatigue, fever,4",Common Cold
"sore throat, shortness of breath, cough, chest pain,4",Sinusitis
"diarrhea, chest pain, shortness of breath,3",Common Cold
"insomnia, shortness of breath, nausea, fever, back pain, abdominal pain,6",Heart Disease
"back pain, joint pain, sneezing,3",Arthritis
"headache, appetite loss, dizziness, weight gain,4",Anxiety
"depression, cough, dizziness, runny nose, blurred vision, sneezing,6",Hypertension
"nausea, cough, fatigue, dizziness,4",Liver Disease
"muscle pain, cough, dizziness, blurred vision, depression, weight gain,6",Parkinson's
"chest pain, diarrhea, nausea, cough, rash,5",Diabetes
"sneezing, cough, blurred vision, fever, depression, tremors,6",Bronchitis
"joint pain, headache, nausea,3",Pneumonia
"rash, swelling, sore throat,3",Pneumonia
"vomiting, nausea, swelling, chest pain, diarrhea, abdominal pain,6",Epilepsy
"tremors, insomnia, dizziness, cough,4",Arthritis
"appetite loss, back pain, depression, fatigue,4",Dementia
"sore throat, nausea, cough,3",COVID-19
"depression, appetite loss, rash, tremors, joint pain,5",Stroke
"tremors, sore throat, muscle pain, headache, vomiting,5",IBS
"joint pain, back pain, sore throat, cough, shortness of breath,5",Influenza
"vomiting, back pain, shortness of breath, fatigue, headache,5",Ulcer
"vomiting, muscle pain, back pain, weight gain,4",Common Cold
"muscle pain, appetite loss, weight gain, headache,4",Anxiety
"diarrhea, headache, blurred vision,3",Diabetes
"abdominal pain, muscle pain, sneezing,3",Ulcer
"fever, sweating, tremors, anxiety, cough, muscle pain, chest pain,7",COVID-19
"abdominal pain, fever, weight loss, depression, sweating,5",Dermatitis
"back pain, runny nose, weight loss, chest pain,4",Sinusitis
"rash, swelling, weight loss, weight gain,4",Thyroid Disorder
"sneezing, swelling, appetite loss, headache, chest pain, shortness of breath,6",Hypertension
"abdominal pain, headache, tremors,3",Hypertension
"runny nose, rash, weight gain,3",Asthma
"shortness of breath, sweating, vomiting, tremors, blurred vision, anxiety,6",Pneumonia
"nausea, weight loss, dizziness, anxiety,4",Chronic Kidney Disease
"nausea, fatigue, swelling, weight loss, sneezing,5",Allergy
"chest pain, depression, blurred vision, joint pain, anxiety,5",Dermatitis
"weight gain, rash, runny nose,3",Sinusitis
"weight gain, vomiting, joint pain, weight loss, muscle pain, blurred vision,6",Food Poisoning
"shortness of breath, swelling, weight loss, sneezing, chest pain, depression,6",Allergy
"appetite loss, depression, fatigue, rash, back pain,5",Dermatitis
"rash, weight gain, sweating,3",Epilepsy
"cough, joint pain, back pain,3",Dementia
"diarrhea, dizziness, weight gain, vomiting, abdominal pain, joint pain,6",Anemia
"back pain, muscle pain, tremors, weight loss, joint pain, headache, weight gain,7",Influenza
"muscle pain, nausea, rash, depression, fever, swelling,6",IBS
"cough, headache, weight gain, anxiety, swelling,5",Bronchitis
"nausea, back pain, swelling, shortness of breath, anxiety, dizziness, muscle pain,7",Asthma
"joint pain, fatigue, depression, chest pain, sweating, nausea,6",Thyroid Disorder
"joint pain, back pain, dizziness, appetite loss, blurred vision, abdominal pain, sore throat,7",Arthritis
"fever, headache, sneezing, tremors,4",Allergy
"abdominal pain, runny nose, dizziness, headache, blurred vision, nausea,6",IBS
"depression, headache, weight gain, shortness of breath, weight loss,5",Hypertension
"tremors, headache, vomiting,3",Heart Disease
"cough, headache, dizziness, sore throat,4",Anxiety
"cough, weight gain, anxiety, back pain,4",Arthritis
"back pain, fatigue, sweating, sneezing,4",Influenza
"appetite loss, weight loss, muscle pain, insomnia, nausea, anxiety, joint pain,7",Allergy
"rash, back pain, sore throat,3",Arthritis
"back pain, anxiety, swelling, sneezing, depression, abdominal pain,6",Liver Disease
"insomnia, tremors, vomiting, anxiety,4",Parkinson's
"nausea, fatigue, abdominal pain,3",Anemia
"tremors, runny nose, insomnia,3",Pneumonia
"sore throat, vomiting, sneezing, joint pain, nausea, appetite loss, depression,7",Dementia
"weight gain, joint pain, vomiting, depression, fatigue, dizziness, sneezing,7",Hypertension
"back pain, tremors, insomnia, weight gain,4",Pneumonia
"shortness of breath, abdominal pain, fatigue, sweating, appetite loss,5",Food Poisoning
"dizziness, fatigue, nausea, cough, blurred vision, depression, appetite loss,7",Tuberculosis
"sore throat, appetite loss, headache, nausea, sneezing,5",Hypertension
"diarrhea, dizziness, joint pain, fever,4",Dermatitis
"vomiting, abdominal pain, shortness of breath, back pain,4",Ulcer
"headache, depression, anxiety,3",Allergy
"blurred vision, fatigue, diarrhea, sweating,4",Common Cold
"chest pain, depression, abdominal pain, fever, tremors,5",Diabetes
"fatigue, back pain, runny nose, vomiting, chest pain, sore throat, nausea,7",Allergy
"back pain, shortness of breath, weight gain, rash, anxiety, headache, chest pain,7",Dermatitis
"depression, tremors, appetite loss, fever,4",Heart Disease
"fever, swelling, sweating, chest pain, runny nose,5",Depression
"weight loss, back pain, muscle pain, cough, sore throat,5",Tuberculosis
"vomiting, back pain, anxiety, dizziness, joint pain, insomnia,6",Obesity
"cough, headache, anxiety, sneezing, swelling, insomnia, runny nose,7",Tuberculosis
"fatigue, tremors, runny nose, chest pain, cough, rash,6",Thyroid Disorder
"vomiting, sweating, nausea, shortness of breath, blurred vision,5",Anxiety
"runny nose, abdominal pain, sore throat, joint pain,4",Pneumonia
"insomnia, appetite loss, anxiety, headache, blurred vision,5",COVID-19
"depression, back pain, sore throat, sweating, appetite loss, diarrhea, swelling,7",Dermatitis
"abdominal pain, sore throat, shortness of breath,3",Stroke
"joint pain, blurred vision, diarrhea,3",Liver Disease
"muscle pain, sore throat, appetite loss,3",Parkinson's
"weight loss, swelling, tremors,3",Sinusitis
"vomiting, rash, shortness of breath, dizziness, chest pain, sneezing,6",Liver Disease
"tremors, depression, anxiety, cough,4",Hypertension
"blurred vision, abdominal pain, swelling, anxiety, nausea, fatigue,6",Parkinson's
"joint pain, depression, sneezing,3",Depression
"sneezing, fever, chest pain, cough,4",Allergy
"fatigue, sneezing, tremors, runny nose, blurred vision, weight loss, diarrhea,7",Dermatitis
"cough, rash, runny nose,3",Anemia
"headache, vomiting, back pain, muscle pain, weight loss, joint pain, diarrhea,7",Gastritis
"tremors, chest pain, swelling, joint pain, fever, runny nose,6",Asthma
"back pain, dizziness, fatigue, fever,4",Hypertension
"joint pain, swelling, weight loss,3",Depression
"insomnia, sweating, muscle pain, rash,4",Chronic Kidney Disease
"insomnia, abdominal pain, diarrhea, muscle pain, sweating,5",Arthritis
"muscle pain, fatigue, abdominal pain, insomnia, fever,5",Stroke
"rash, nausea, muscle pain, fever, diarrhea,5",Chronic Kidney Disease
"headache, tremors, weight loss, blurred vision, nausea, vomiting,6",COVID-19
"chest pain, swelling, nausea, vomiting, rash, weight gain,6",COVID-19
"insomnia, fatigue, appetite loss, runny nose,4",Dermatitis
"joint pain, sweating, muscle pain, fatigue, runny nose, headache,6",Influenza
"sweating, blurred vision, back pain, cough,4",Diabetes
"abdominal pain, back pain, appetite loss, sneezing, weight gain, muscle pain, fatigue,7",Allergy
"fatigue, blurred vision, fever, abdominal pain, diarrhea, chest pain, appetite loss,7",Epilepsy
"vomiting, appetite loss, insomnia, chest pain, muscle pain, sore throat, fever,7",Arthritis
"depression, diarrhea, swelling, chest pain,4",Pneumonia
"weight loss, weight gain, dizziness, cough, anxiety,5",Sinusitis
"rash, sore throat, sneezing, fatigue, muscle pain, anxiety, nausea,7",Tuberculosis
"anxiety, headache, abdominal pain,3",Bronchitis
"sore throat, appetite loss, joint pain, cough, rash,5",Depression
"joint pain, sore throat, weight gain,3",Pneumonia
"runny nose, weight gain, sneezing, blurred vision, dizziness, diarrhea, tremors,7",Depression
"joint pain, chest pain, insomnia, weight gain, tremors,5",Obesity
"cough, blurred vision, sneezing, nausea, fever,5",Obesity
"swelling, appetite loss, vomiting, abdominal pain, headache, anxiety,6",Food Poisoning
"runny nose, fever, abdominal pain, appetite loss,4",Stroke
"appetite loss, diarrhea, fatigue, nausea, weight gain, anxiety,6",Dermatitis
"weight gain, abdominal pain, swelling, dizziness, chest pain, headache, sore throat,7",Dementia
"depression, insomnia, vomiting,3",Obesity
"sweating, blurred vision, fatigue, swelling, headache, runny nose,6",Parkinson's
"shortness of breath, sweating, blurred vision,3",Food Poisoning
"vomiting, depression, sweating, appetite loss, fatigue, dizziness, anxiety,7",Allergy
"appetite loss, depression, sweating, runny nose, fever,5",Ulcer
"vomiting, back pain, muscle pain, tremors, blurred vision,5",COVID-19
"appetite loss, muscle pain, insomnia, sneezing,4",Ulcer
"appetite loss, abdominal pain, sneezing, sore throat, fever,5",Influenza
"vomiting, diarrhea, appetite loss, headache,4",Parkinson's
"back pain, insomnia, weight gain,3",Ulcer
"depression, tremors, weight loss, sneezing, vomiting, diarrhea,6",Migraine
"cough, nausea, chest pain,3",Depression
"sweating, weight loss, sneezing, fever, shortness of breath, dizziness,6",Parkinson's
"chest pain, joint pain, runny nose, sore throat, nausea, rash,6",Allergy
"weight loss, sweating, fever,3",Thyroid Disorder
"headache, sweating, diarrhea, joint pain, nausea, appetite loss,6",Anemia
"headache, insomnia, dizziness,3",Food Poisoning
"nausea, weight loss, weight gain, diarrhea, fever,5",Heart Disease
"diarrhea, sweating, depression, rash, tremors, muscle pain,6",Influenza
"runny nose, abdominal pain, dizziness, diarrhea, joint pain,5",Asthma
"vomiting, sore throat, nausea, weight gain,4",Anxiety
"back pain, shortness of breath, blurred vision, appetite loss, fatigue,5",Dementia
"sweating, dizziness, fatigue, swelling, insomnia, weight gain,6",Heart Disease
"weight gain, joint pain, sore throat, diarrhea, fever, blurred vision, swelling,7",Food Poisoning
"swelling, nausea, sweating,3",Epilepsy
"headache, shortness of breath, sweating, vomiting, depression,5",Bronchitis
"dizziness, sore throat, insomnia,3",Common Cold
"back pain, runny nose, joint pain, tremors, vomiting,5",Influenza
"tremors, diarrhea, cough, appetite loss, rash,5",Dementia
"sweating, anxiety, swelling, diarrhea,4",Obesity
"chest pain, headache, depression, runny nose, joint pain,5",Food Poisoning
"joint pain, nausea, weight gain, muscle pain, blurred vision, depression,6",Arthritis
"muscle pain, blurred vision, weight gain,3",Obesity
"chest pain, appetite loss, swelling,3",IBS
"cough, muscle pain, nausea,3",Depression
"muscle pain, sweating, tremors, blurred vision, chest pain, appetite loss, depression,7",Tuberculosis
"rash, weight gain, sweating, joint pain, nausea,5",Parkinson's
"depression, diarrhea, vomiting, insomnia, weight gain, fatigue,6",Sinusitis
"tremors, muscle pain, dizziness,3",Dementia
"dizziness, swelling, shortness of breath, cough, blurred vision, vomiting,6",Food Poisoning
"appetite loss, fever, cough, back pain,4",Food Poisoning
"headache, insomnia, joint pain, rash, shortness of breath,5",Asthma
"diarrhea, sweating, fatigue, headache, vomiting, insomnia,6",Heart Disease
"sore throat, sneezing, insomnia, tremors, blurred vision, headache,6",Tuberculosis
"diarrhea, joint pain, fatigue,3",Gastritis
"sweating, chest pain, cough, swelling,4",Diabetes
"abdominal pain, muscle pain, fatigue, diarrhea,4",Depression
"joint pain, runny nose, diarrhea, muscle pain, rash, shortness of breath, swelling,7",Ulcer
"appetite loss, weight loss, sweating, anxiety,4",COVID-19
"anxiety, shortness of breath, vomiting, weight gain, appetite loss, blurred vision, back pain,7",Diabetes
"appetite loss, nausea, blurred vision, anxiety, sneezing, back pain, depression,7",Parkinson's
"sneezing, weight gain, anxiety, weight loss, cough, tremors, chest pain,7",Asthma
"swelling, sore throat, anxiety, muscle pain, tremors, fatigue, weight loss,7",Gastritis
"tremors, joint pain, headache,3",Gastritis
"depression, swelling, weight gain,3",Migraine
"sneezing, insomnia, appetite loss, nausea, anxiety, cough, runny nose,7",Dermatitis
"chest pain, shortness of breath, sore throat, fever, rash, dizziness, joint pain,7",Tuberculosis
"back pain, cough, anxiety, nausea,4",COVID-19
"cough, anxiety, dizziness,3",Arthritis
"depression, weight loss, sore throat, nausea, rash,5",Anxiety
"appetite loss, back pain, abdominal pain, sweating, anxiety, weight gain,6",Parkinson's
"depression, weight gain, rash,3",Tuberculosis
"swelling, shortness of breath, runny nose, depression, joint pain, chest pain, appetite loss,7",Influenza
"abdominal pain, joint pain, anxiety, weight loss,4",Liver Disease
"sweating, abdominal pain, fever, joint pain,4",Parkinson's
"shortness of breath, headache, rash, back pain, weight gain, vomiting, joint pain,7",Stroke
"headache, vomiting, swelling, back pain, sneezing, insomnia, muscle pain,7",Depression
"fatigue, fever, appetite loss, diarrhea,4",Asthma
"sore throat, anxiety, joint pain, muscle pain, dizziness, weight gain,6",Anemia
"blurred vision, depression, sweating,3",Influenza
"headache, fever, anxiety, insomnia, back pain, depression,6",Allergy
"headache, cough, depression, muscle pain, weight gain, insomnia, shortness of breath,7",Thyroid Disorder
"anxiety, back pain, tremors, appetite loss,4",Common Cold
"sneezing, rash, weight loss,3",Heart Disease
"runny nose, headache, sneezing, weight loss, sore throat, shortness of breath,6",Diabetes
"diarrhea, sneezing, dizziness, vomiting,4",Hypertension
"back pain, anxiety, headache, abdominal pain, vomiting, appetite loss,6",Diabetes
"tremors, anxiety, appetite loss, diarrhea, weight loss,5",Ulcer
"sneezing, nausea, vomiting, sore throat,4",Influenza
"chest pain, sneezing, fever, cough, depression, headache,6",Gastritis
"chest pain, weight loss, cough, tremors, insomnia, vomiting, swelling,7",Obesity
"shortness of breath, chest pain, sneezing, abdominal pain,4",Diabetes
"weight loss, nausea, abdominal pain, dizziness,4",Diabetes
